Business Name,Phone,Address,Website Status,Original URL,Google Maps Link
Chinchilla Textil Hogar S.L.,965 54 50 40,"Carretera de Alicante Nº82, 03801 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=17556120887982239636
La Llar Textil,965 33 72 59,"Carrer Sabadell, 16, 1, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=2451564038310516976
La Francesa (Ropa de hogar),965 54 01 91,"C/ Sant Nicolau, 3, 03801 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=15392854037747054091
Confecciones la Madrileña,965 33 15 99,"C/ Na Saurina d'Entença, 4, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=6507957006707692400
Confecciones Catalina,,"Carrer Sabadell, 15, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=14898688487487457186
Creaciones Germanísimo,627 07 25 88,"Carrer Azorín, 3, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3247370759747295999
Tot a Mida Alcoi Rebeca Corec,603 52 78 17,"Carrer Murillo, 52, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=437550293306805675
Confecciones Muñoz,924 80 83 25,"Carrer Sant Doménec, 6, 03801 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3763467040504936566
Gala,965 52 20 81,"Carrer Pintor Cabrera, 3, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=3388546400177811694
Lujomi,657 76 11 03,"Carrer els Alçamora, 34, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=2183097818589175014
Athenea Moltó y Sirvent,965 33 44 86,"Carrer Mossèn Vicent Albors, 2, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=5959527197618534832
Spagnolo Alcoi,609 20 09 70,"Av. Alameda Camilo Sesto, 15, 03803 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=12176419721286490208
villajuana Alcoi,639 42 31 63,"Carrer Víctor Espinós, 2, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=2252164495902011611
La Tía Tula,966 33 67 85,"Av. Alameda Camilo Sesto, 27, 03803 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=2554697586397265865
ARSLAN&DIANA,643 67 02 29,"Av. Alameda Camilo Sesto, 62, 03803 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=3890856151883364287
ROBERTO PÉREZ JORDÀ treballs per a la festa,649 84 87 79,"Carrer Sant Isidre, 28, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=9101281061175459623
attuendo,965 77 62 95,"Av. País Valencià, 22, 03801 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=11167744153432695855
El Costurero de Mayka,650 78 02 20,"Carrer Joan de Joanes, 5, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=12340050518676837470
Joséphine le Boutique,642 41 52 55,"Carrer els Alçamora, 11, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=17500960723054259055
Molisa,966 33 60 10,"Carrer Mestre Espí, 11, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=16858937416753615142
D'AM TEXTIL C. B.,965 54 71 55,"Carrer Filà Verds, 1, A, 03801 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=17183513282835598878
Muestrarios Angel López,965 54 81 32,"Calle Fila Cordón, 12, Pol. Id. Cotes Altes, Carrer Filà Cordón, 4, 03804 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=14441586344702242846
Raul Tolosa TEJIDOS,965 33 75 40,"Polígon Cotes Baixes Carrer F, 13, 03804 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=7499411110076961705
Confecciones Macu Polo,686 84 86 70,"Av. d'Alacant, 80, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=10035072329695915445
Tonny Sango,966 23 87 49,"Av. La, Av. Alameda Camilo Sesto, 60, 03802 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=14389934703913311444
Rica-Hnova,965 52 32 25,"C/ Na Saurina d'Entença, 32, 03803 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=2798987840169203251
DI&MAR,965 52 55 70,"Gregorio, Carrer Gregori Casasempere Juan, Nº 30, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=17318258102969875465
HILADOS MURAVO S.L.U,966 51 64 85,"C. B, 17, 03804 Alcoy, Alicante, Spain",no_website,,https://maps.google.com/?cid=18435776345114605454
Arreglos - Modista Merce,,"Carrer Alfons el Magnànim, 20, 03802 Alcoi, Alicante, Spain",no_website,,https://maps.google.com/?cid=5233173811096387392
Ontinyent Cortetextil SL,685 87 52 42,"Carrer dels Diables, 19 - 21, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=6542542024599134734
Confección Muestrarios Textiles - Juany Gea Robles,962 38 49 72,"Carrer Escultor Juli Lleonard Capuz, 15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=3438349533886246158
ROVIMAR,650 63 04 20,"Carrer de l'Agrillent, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=16090327678282628310
"+ home ( Dream Home Textil, S.L )",961 11 14 51,"Carretera Hermita Sant Josep del Pla , 13-15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=4189562921452165600
Textiles Tortosa,645 52 74 38,"Av. del Textil, 53C, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=10582105991992071419
Levantina De Corte S .L.,962 90 77 75,"Camí Vell de Xàtiva, 28, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=16445941798746254697
Blanc Textil S.A.,962 91 11 23,"Carrer de l'Ordim, 10, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=4443324984814416775
Sontex Ultrasons,615 56 34 19,"Carrer de les Madeixes, 16, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=3151243263415367877
ANMITEX SL.,962 36 91 89,"Camí els Tarongers, 14AL, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=12847788357628728682
Textiles Pongal Oficinas,962 90 04 68,"Av. del Textil, 54, edificio 1, puerta 2, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=5694828499668619675
Home Olé,677 84 40 80,"Av. del Textil, 11, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=7127276650807150842
Jeydu Textiles,699 13 37 51,"Carrer del Pintor Josep Segrelles, 15, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=9641280196967468682
Hogar Pean/ Hogar Hogar,962 38 12 48,"Calle de, C. José Simo, 21, pta.1, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=9580239788019197880
Textiles Del Hogar JBU,,"Av. Jacinto Benavente, 15, bajo, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=16865771828511847380
Confección y Textiles Para El Hogar,962 38 11 77,"Av. de la Diputació, 21, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=11740574589132953862
Casa Moda,,"C. de la Serratella, 6, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=12899922154043388652
Vidal Y Sanz,962 38 00 70,"Av. del Textil, 0, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=4449498393194241309
Trn Outlet Textil Hogar,627 49 09 29,"Pol. Ind. el Pla Dr, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=5518202260380504450
Inma Soriano - Corte y confección,646 58 53 08,"Av. d'Albaida, 17, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=14197838625879244265
Belda Moda,962 38 12 80,"Av. Jacinto Benavente, 50D, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=15437818090946917003
El Didal d'Or,962 91 32 33,"C. Juan XXIII, nº6, izq, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=12677305240445358050
El Costurero,,"Avinguda de Daniel Gil, 64, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=5768033666858010668
Alma (keep it simple),,"Carrer Gomis, 41, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=17192065699082281555
Bordados Regisol,962 91 04 28,"Polígono Industrial El Plà, Carrer dels Diables, 70-72, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=1851649674668224263
Víctor & Junior,962 38 19 08,"Carrer de Santa Teresa, 1, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=7269126936831803420
Costureo by Angela,637 33 12 56,"Carrer del Pintor Josep Segrelles, 31A, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=1078045234220580824
CROMIA ACABADOS TEXTILES,962 91 61 27,"Av. del Textil, 23, 46870 Ontinyent, Valencia, Spain",no_website,,https://maps.google.com/?cid=7733615660481914096
Novalt Fábrica Textil,966 50 04 81,"Vía Polígono Llaona, 25, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=15753320803879353348
Tejidos Sala,679 24 50 82,"Carrer Nersac, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=6725254030794270287
Texlun S.L.,965 59 20 11,"Avinguda de Xàtiva, 23, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2614807494642896492
Francisco Albero Almacen De Tejidos,,"Avinguda de Xàtiva, 21, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=4980276448842258106
JM S.L. Comercial De Hilados,,"Via Polígon Algars, 95-97, 03829 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=11824464603174686833
Manufacturas Especializadas Yadisema S.R.L.,722 18 79 44,"Carretera La Lleona nº 34, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=10299530815716661039
Salvador Belda,696 75 73 46,"Avda. Alicante, 12, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=8328076183836263046
Tododelantales,966 53 58 90,"Carrer Banyeres de Mariola, 5, Nave A, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=1678663827611778578
Têla Home,965 59 27 61,"Carretera Serelles, 14, AP: 171, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2166710330993233202
Toallas Carmen Hidaígo,629 66 96 95,"Avinguda de Xàtiva, 48, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=6230330920242250045
Amittex,631 07 88 94,"Avinguda de Xàtiva, 94, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=8020157278928090938
Textiles Faissal,966 26 32 30,"Bañeres de Mariola 9, Pol. Ind. El Algars, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=2905792086712198015
Tejidos El Almacén,965 59 13 26,"Av. del País Valencià, 51, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=17948261410425555351
Lucia Entre Tela,697 83 71 72,"Carrer d'Ausiàs March, 22, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=5399919631361928449
Confeccions Espinós,962 35 02 02,"Carrer Joan Beneyto Bernàcer, 29B, 46880 Bocairent, Valencia, Spain",no_website,,https://maps.google.com/?cid=11003432257683727233
Muestrarios Textiles F&F,657 96 21 48,"Av. d'Alacant, 11, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=11483739917193331906
Urdidos Romá e Hijos,966 51 68 24,"Carrer de Sant Lorenç, 2, 03829 L'Alqueria d'Asnar, Alicante, Spain",no_website,,https://maps.google.com/?cid=17360872569564145794
Punt Dior Coop Valentín,966 50 11 03,"Carrer Riu Penàguila, 16, 03820 Cocentaina, Alicante, Spain",no_website,,https://maps.google.com/?cid=3665150600967680542
La Modista,966 33 13 64,"Carrer Cid, 20, 03803 Alcoi, Alicante, Spain",broken_website,https://www.facebook.com/lamodistaalcoy/,https://maps.google.com/?cid=15213471760689017482
LABRATEX,609 77 61 16,"C/ Vistabella, 14, 03802 Alcoi, Alicante, Spain",broken_website,https://www.facebook.com/Labratex,https://maps.google.com/?cid=15033841185473152487
Juan Moiña Alta Costura,616 35 78 43,"Av. Alameda Camilo Sesto, n° 59, Bajo, 03802 Alcoi, Alicante, Spain",broken_website,http://juanmoiña.com/,https://maps.google.com/?cid=805609584440787397
EL MALLERO. Cotamalla,622 69 54 54,"C/ Na Saurina d'Entença, 97, 03803 Alcoi, Alicante, Spain",broken_website,http://www.facebook.com/cotamalla,https://maps.google.com/?cid=14605975209522261300
Calle 17 Ropa Hombre,965 54 07 01,"C/ Sant Nicolau, 17, 03801 Alcoi, Alicante, Spain",broken_website,https://www.facebook.com/Calle-17-Ropa-Hombre-168806523269310/?ref=aymt_homepage_panel,https://maps.google.com/?cid=14562639549222622436
Sfera,966 54 05 49,"Av. Alameda Camilo Sesto, 10, 03803 Alcoy, Alicante, Spain",broken_website,https://www.sfera.com/es/,https://maps.google.com/?cid=812921650516208558
"Confecciones Gramage, S.L.",600 32 41 12,"Carrer de l'Agrillent, 5, 46870 Ontinyent, Valencia, Spain",broken_website,http://confeccionesgramage.com/,https://maps.google.com/?cid=2477560941847470564
